[17:56:20	]Garet a activé le mode observateur.
[17:56:23	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:24	]Garet a activé le mode observateur.
[17:56:24	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:25	]Garet a activé le mode observateur.
[17:56:26	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:26	]Garet a activé le mode observateur.
[17:56:27	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:28	]Garet a activé le mode observateur.
[17:56:28	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:29	]Garet a activé le mode observateur.
[17:56:30	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:30	]Garet a activé le mode observateur.
[17:56:31	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:31	]Garet a activé le mode observateur.
[17:56:32	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:33	]Garet a activé le mode observateur.
[17:56:34	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:35	]Garet a activé le mode observateur.
[17:56:35	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:36	]Garet a activé le mode observateur.
[17:56:36	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:37	]Garet a activé le mode observateur.
[17:56:38	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:39	]Garet a activé le mode observateur.
[17:56:40	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:41	]Garet a activé le mode observateur.
[17:56:42	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:43	]Garet a activé le mode observateur.
[17:56:43	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:45	]Garet a activé le mode observateur.
[18:06:08	]Garet a désactivé le mode observateur à son point d'origine.
[18:06:09	]Garet a activé le mode observateur.
[18:06:10	]Garet a désactivé le mode observateur à son point d'origine.
[18:06:10	]Garet a activé le mode observateur.
[18:06:11	]Garet a désactivé le mode observateur à son point d'origine.
[18:06:11	]Garet a activé le mode observateur.
[18:06:11	]Garet a désactivé le mode observateur à son point d'origine.
[18:06:12	]Garet a activé le mode observateur.
[18:06:12	]Garet a désactivé le mode observateur à son point d'origine.
[18:06:13	]Garet a activé le mode observateur.
[18:06:13	]Garet a désactivé le mode observateur à son point d'origine.
[18:06:14	]Garet a activé le mode observateur.
[18:06:15	]Garet a désactivé le mode observateur à son point d'origine.
