[20:19:02	]Ellie Stell has transferred a 'Vending Machine Key' #15249 to a container with the name 'File Cabinet' #1942.
[20:19:06	]Ellie Stell closed the 'File Cabinet' #1942 container.
[20:20:03	]Ellie Stell exited observer at their location.
[20:20:06	]Ellie Stell entered observer.
[20:20:18	]Ellie Stell exited observer at their location.
[20:20:18	]Ellie Stell has taken 2 damage from Ellie Stell.
[20:20:18	]Ellie Stell has taken 4 damage from Ellie Stell.
[20:20:19	]Ellie Stell has taken 6 damage from Ellie Stell.
[20:20:19	]Ellie Stell has taken 8 damage from Ellie Stell.
[20:20:19	]Ellie Stell has taken 10 damage from Ellie Stell.
[20:20:20	]Ellie Stell has taken 12 damage from Ellie Stell.
[20:20:20	]Ellie Stell has taken 14 damage from Ellie Stell.
[20:20:20	]Ellie Stell has taken 15 damage from Ellie Stell.
[20:20:21	]Ellie Stell has taken 15 damage from Ellie Stell.
[20:20:21	]Ellie Stell was knocked unconscious and is bleeding out.
[20:20:21	]Ellie Stell entered observer.
[20:20:30	]Ellie Stell used command '/CharGetUp'.
[20:20:38	]Ellie Stell has dropped: Açık Gri Kol Bandı (#14835); Kırmızı Hava Ceketi (#14766); Tulum pantolonu. (#14838); Gri Bere (#14840);
[20:20:38	]Ellie Stell was just killed due to: accepting their death
[20:20:40	]Ellie Stell used command '/CharGetUp'.
[20:20:40	]Ellie Stell entered observer.
[20:21:04	]Ellie Stell exited observer at their location.
[20:21:07	]Ellie Stell entered observer.
[20:21:49	]Ellie Stell exited observer at their location.
[20:21:50	]Ellie Stell entered observer.
[20:21:50	]Ellie Stell exited observer at their location.
[20:21:50	]Ellie Stell entered observer.
[20:21:51	]Ellie Stell exited observer at their location.
[20:21:55	]Ellie Stell has used a context menu option with the name: remove
[20:21:56	]Ellie Stell has used a context menu option with the name: remove
[20:21:57	]Ellie Stell has used a context menu option with the name: remove
[20:21:58	]Ellie Stell has used a context menu option with the name: remove
[20:22:03	]Ellie Stell has used a context menu option with the name: wncontainer_checkowner
[20:22:18	]Ellie Stell has set the password of the 'File Cabinet' container (#2243).
[20:22:18	]Ellie Stell has used a context menu option with the name: wncontainer_setpassword
[20:22:21	]Ellie Stell opened the 'File Cabinet' #2243 container.
[20:22:32	]Ellie Stell closed the 'File Cabinet' #2243 container.
[20:22:34	]Ellie Stell has used a context menu option with the name: wncontainer_checkowner
[20:24:06	]Ellie Stell has used a context menu option with the name: wncontainer_checkowner
[20:24:15	]Ellie Stell has used a context menu option with the name: remove
[20:24:15	]Ellie Stell entered observer.
[20:24:16	]Container 'File Cabinet' removed (inv #2243; model: models/props_lab/filecabinet02.mdl) with 0 chips and items:  3x Çelik (#14685); Assault Rifle Ammo (#14436); Helsing Bolt Rifle (#15119); 3x Kömür (#14637); Bavul (#14666); 3x Hurda Metal (#11612); 4x Çelik (#14674); 8x Hurda Metal (#14667); 2x Güçlü Yapıştırıcı (#14695); 8x Plastik Çöp (#14651); 3x Vida Kutusu (#14892); 8x Elektronik devreler (#14700); 2x Dikişli Kumaş (#14731); 4x Vida Kutusu (#14727); 8x Hurda Metal (#14643); 1x Yapıştırıcı (#14925); 4x Plastik Levhalar (#14708); 4x Çivi Kutusu (#14712);
[20:24:21	]Victorian has connected.
[20:24:44	]Ellie Stell exited observer at their location.
[20:24:46	]Ellie Stell entered observer.
[20:24:47	]Ellie Stell exited observer at their location.
[20:24:48	]Ellie Stell entered observer.
[20:24:48	]Ellie Stell exited observer at their location.
[20:24:51	]Ellie Stell entered observer.
[20:25:47	]Ellie Stell exited observer at their location.
[20:25:49	]Ellie Stell entered observer.
[20:25:54	]Ellie Stell used the 'Kaçakçı' smuggler.
[20:27:13	]Victorian loaded the character 'Alexander Ivanov'
